X,Y,OBJECTID,Bridge_Name,Town,Latitude,Longitude,Facility_Carried,Structure_Material,Structure_Type,Type_of_Service,Structure_Length,Bridge_Owner,Structurally_Deficient,Posted,Structure_Category,Bridge_Department_Number,Bridge_Identification_Number__B,Feature_Intersected,Highway_Agency_District,FHWARecord,Year_Built,Year_Reconstructed,BridgeInspectionDate,NHS,Deck_Condition,Superstructure_condition,Substructure_Condition,Culvert_Condition,deckArea,Clearance
-7912559.47867445,5240125.92007964,1317750,                    ,Wakefield,42.52616111,-71.07973056,ST129 NB ROTARY,Concrete,Culvert (includes frame culverts),Highway,3,MUN,NO,Open,Short Span Bridge,W01023,811,OTHER ABANDONED,4,False,1949,0,2021/08/18 00:00:00+00,False,N,N,N,N,452.08423764,0
-7910714.97600702,5237337.77135683,1317751,                    ,Wakefield,42.5077,-71.06316111,HWY   NEW SALEM ST,Concrete,Culvert (includes frame culverts),Highway,3.1,MUN,NO,Open,Short Span Bridge,W01026,812,WATER MILL RIVER        ,4,False,1969,0,2021/09/21 00:00:00+00,False,N,N,N,5,497.18500626,0
-7939529.46524337,5206728.05043201,1317752,                    ,Wellesley,42.30466597,-71.322006,ST  9 WORCESTER ST,Concrete,Other,Highway-pedestrian,3.4,DOT,NO,Open,Culvert,W13012,814,WATER MDC AQUEDUCT      ,6,False,1932,0,,False,?,?,?,?,0,0
-7934264.27433164,5208017.47543528,1317753,                    ,Wellesley,42.31323197,-71.274708,ST  9 WORCESTER ST,Concrete,Other,Highway-pedestrian,3.4,DOT,NO,Open,Culvert,W13018,815,WATER MDC AQUEDUCT      ,6,False,1932,0,,False,?,?,?,?,0,0
-7932032.87125506,5208231.84465353,1317754,                    ,Wellesley,42.31465597,-71.25466297,ST  9 WORCESTER ST,Other,Culvert (includes frame culverts),Highway-pedestrian,3.7,DOT,NO,Open,Short Span Bridge,W13019,816,WATER ROSEMARY BROOK    ,6,False,1932,0,2021/09/10 00:00:00+00,False,N,N,N,5,728.82433471,0
-7940448.18180487,5195891.23220191,1317755,                    ,Dover,42.23262797,-71.33025897,HWY   BRIDGE ST,Prestressed concrete,Stringer/Multi-beam or Girder,Highway-pedestrian,33.1,MUN,NO,Open,Bridge (NBI),D10001,AFX,WATER CHARLES RIVER,6,True,2000,0,2021/09/07 00:00:00+00,False,7,8,7,N,4097.2822538,0
-7937058.06021569,5201410.83891138,1317756,                    ,Dover,42.26932997,-71.299805,HWY   DOVER RD,Prestressed concrete continuous,Slab,Highway-pedestrian,38.6,MUN,NO,Open,Bridge (NBI),D10002,AFA,WATER CHARLES RIVER     ,6,True,2002,0,2020/08/17 00:00:00+00,False,7,7,7,N,4570.35612753,0
-7899922.19620993,5187798.55309595,1317757,                    ,Weymouth,42.178778,-70.96620797,HWY   COLUMBIAN ST,Steel continuous,Stringer/Multi-beam or Girder,Highway-pedestrian,43.3,DOT,NO,Open,Bridge (NBI),W32009,AFB,RR    MBTA,6,True,2003,0,2021/09/27 00:00:00+00,False,7,8,7,N,7457.23696675,5.6300001
-7915805.36983059,5220658.38227302,1317758,PETER G. PIRO MEMORIAL                   ,Somerville,42.39714722,-71.10888889,HWY   CEDAR ST  ,Prestressed concrete,Box Beam or Girders - Multiple,Highway-pedestrian,23.7,DOT,NO,Open,Bridge (NBI),S17012,AE7,RR    MBTA/BMRR,4,True,1999,0,2021/10/12 00:00:00+00,False,6,6,5,N,3010.23531507,5.3800001
-8146429.94002965,5225185.52910249,1317759,                    ,Dalton,42.427173,-73.18062397,HWY   KIRCHNER RD,Steel,Culvert (includes frame culverts),Highway,3,MUN,NO,Open,Culvert,D01025,83V,WATER SACKETT BROOK,1,False,1960,0,2017/10/23 00:00:00+00,False,N,N,N,6,221.96003608,0
-8147872.64418257,5224915.87718495,1317760,                    ,Dalton,42.42538497,-73.193584,HWY   WASH MTN RD ,Concrete,Culvert (includes frame culverts),Highway,3.7,MUN,NO,Open,Short Span Bridge,D01023,83Y,WATER HATHAWAY BROOK,1,False,1935,0,2021/10/13 00:00:00+00,False,N,N,N,6,383.91341213,0
-7940228.87550539,5253336.98420774,1317761,                    ,Chelmsford,42.61356111,-71.32828889,US  3 CD NB,Steel,Stringer/Multi-beam or Girder,Highway,30.1,DOT,NO,Open,Bridge (NBI),C08012,85P,ST110 CHELMSFORD ST,4,True,2004,0,2021/05/11 00:00:00+00,True,7,7,6,N,3952.72318443,5.02
-7944561.67896993,5254706.84816738,1317762,                    ,Chelmsford,42.62261667,-71.36721111,ST  4 SB,Steel continuous,Stringer/Multi-beam or Girder,Highway-pedestrian,50,DOT,NO,Open,Bridge (NBI),C08019,85Q,US  3 NB/SB,4,True,2004,0,2021/05/18 00:00:00+00,True,7,7,7,N,11517.3841494,5
-7923256.66617383,5222561.66098927,1317763,                    ,Arlington,42.40977222,-71.175825,OTHER PEDESTRIAN  ,Concrete,Tee Beam,Pedestrian-bicycle,48.2,DOT,NO,Open,Pedestrian,A10022,876,ST  2                   ,4,False,1967,0,2021/10/05 00:00:00+00,False,5,5,5,N,1369.68615342,4.6500001
-7920119.00145229,5221004.67084772,1317764,                    ,Arlington,42.39944444,-71.14763889,OTHER PEDESTRIAN  ,Steel continuous,Frame (except frame culverts),Pedestrian-bicycle,33.7,DOT,NO,Open,Pedestrian,A10024,877,ST  2                   ,4,False,1973,0,2021/09/29 00:00:00+00,False,5,6,7,N,616.66444626,5.0500002
